depth,k,live_rows,extra_outputs,near_output_support,near_count_log2,needed_other_copy_zeros,conditioned_tail_log2,union_log2
11,2048,32,0,64,13.80735492,1,-114.41503750,-100.60768258
11,2048,32,1,65,24.76155123,2,-232.41574211,-207.65419088
11,2048,32,2,66,34.71502019,3,-351.00211418,-316.28709399
11,2048,32,3,67,44.08279894,4,-470.00422906,-425.92143011
11,2048,32,4,68,53.03481211,5,-589.32897767,-536.29416556
11,2048,32,5,69,61.66416873,6,-708.91746668,-647.25329796
11,2048,32,6,70,70.02976212,7,-828.72905445,-758.69929233
11,2048,32,7,71,78.17223391,8,-948.73399399,-870.56176007
11,2048,32,8,72,86.12133107,9,-1068.90956555,-982.78823448
11,2048,32,9,73,93.89977330,10,-1189.23784758,-1095.33807429
11,2048,32,10,74,101.52548214,11,-1309.70434087,-1208.17885873
11,2048,32,11,75,109.01295680,12,-1430.29707310,-1321.28411631
11,2048,32,12,76,116.37416954,13,-1551.00599098,-1434.63182144
11,2048,32,13,77,123.61917365,14,-1671.82253282,-1548.20335916
11,2048,32,14,78,130.75653079,15,-1792.73931945,-1661.98278866
11,2048,32,15,79,137.79362011,16,-1913.74992495,-1775.95630484
11,2048,32,16,80,144.73686751,17,-2034.84870310,-1890.11183560
11,2048,32,17,81,151.59191917,18,-2156.03065358,-2004.43873441
11,2048,32,18,82,158.36377541,19,-2277.29131708,-2118.92754167
11,2048,32,19,83,165.05689551,20,-2398.62669203,-2233.56979652
11,2048,32,20,84,171.67528101,21,-2520.03316751,-2348.35788651
11,2048,32,21,85,178.22254280,22,-2641.50746876,-2463.28492596
11,2048,32,22,86,184.70195564,23,-2763.04661226,-2578.34465662
11,2048,32,23,87,191.11650301,24,-2884.64786856,-2693.53136556
11,2048,32,24,88,197.46891433,25,-3006.30873118,-2808.83981685
11,2048,32,25,89,203.76169608,26,-3128.02689029,-2924.26519422
11,2048,32,26,90,209.99715804,27,-3249.80021051,-3039.80305247
11,2048,32,27,91,216.17743559,28,-3371.62671183,-3155.44927624
11,2048,32,28,92,222.30450871,29,-3493.50455325,-3271.20004454
11,2048,32,29,93,228.38021837,30,-3615.43201865,-3387.05180028
11,2048,32,30,94,234.40628066,31,-3737.40750450,-3503.00122383
11,2048,32,31,95,240.38429911,32,-3859.42950913,-3619.04521002
11,2048,32,32,96,246.31577534,33,-3981.49662333,-3735.18084799
11,2048,32,33,97,252.20211856,34,-4103.60752204,-3851.40540349
11,2048,32,34,98,258.04465378,35,-4225.76095709,-3967.71630331
11,2048,32,35,99,263.84462917,36,-4347.95575064,-4084.11112147
11,2048,32,36,100,269.60322254,37,-4470.19078941,-4200.58756687
11,2048,32,37,101,275.32154714,38,-4592.46501956,-4317.14347242
11,2048,32,38,102,281.00065680,39,-4714.77744199,-4433.77678520
11,2048,32,39,103,286.64155057,40,-4837.12710824,-4550.48555767
11,2048,32,40,104,292.24517692,41,-4959.51311669,-4667.26793977
11,2048,32,41,105,297.81243742,42,-5081.93460921,-4784.12217179
11,2048,32,42,106,303.34419018,43,-5204.39076807,-4901.04657790
11,2048,32,43,107,308.84125291,44,-5326.88081317,-5018.03956026
11,2048,32,44,108,314.30440569,45,-5449.40399948,-5135.09959378
11,2048,32,45,109,319.73439353,46,-5571.95961473,-5252.22522119
11,2048,32,46,110,325.13192867,47,-5694.54697732,-5369.41504865
11,2048,32,47,111,330.49769267,48,-5817.16543437,-5486.66774170
11,2048,32,48,112,335.83233841,49,-5939.81435993,-5603.98202152
11,2048,32,49,113,341.13649180,50,-6062.49315336,-5721.35666156
11,2048,32,50,114,346.41075346,51,-6185.20123783,-5838.79048437
11,2048,32,51,115,351.65570020,52,-6307.93805893,-5956.28235873
11,2048,32,52,116,356.87188640,53,-6430.70308338,-6073.83119698
11,2048,32,53,117,362.05984533,54,-6553.49579785,-6191.43595253
11,2048,32,54,118,367.22009027,55,-6676.31570787,-6309.09561760
11,2048,32,55,119,372.35311569,56,-6799.16233680,-6426.80922111
11,2048,32,56,120,377.45939820,57,-6922.03522488,-6544.57582668
11,2048,32,57,121,382.53939752,58,-7044.93392837,-6662.39453085
11,2048,32,58,122,387.59355738,59,-7167.85801871,-6780.26446132
11,2048,32,59,123,392.62230632,60,-7290.80708174,-6898.18477542
11,2048,32,60,124,397.62605846,61,-7413.78071704,-7016.15465858
11,2048,32,61,125,402.60521420,62,-7536.77853719,-7134.17332299
11,2048,32,62,126,407.56016094,63,-7659.80016721,-7252.24000627
11,2048,32,63,127,412.49127364,64,-7782.84524391,-7370.35397028
11,2048,32,64,128,417.39891544,65,-7905.91341542,-7488.51449998
11,2048,32,65,129,422.28343822,66,-8029.00434057,-7606.72090235
11,2048,32,66,130,427.14518310,67,-8152.11768852,-7724.97250542
11,2048,32,67,131,431.98448091,68,-8275.25313819,-7843.26865728
11,2048,32,68,132,436.80165269,69,-8398.41037794,-7961.60872524
11,2048,32,69,133,441.59701008,70,-8521.58910506,-8079.99209497
11,2048,32,70,134,446.37085574,71,-8644.78902546,-8198.41816972
11,2048,32,71,135,451.12348374,72,-8768.00985331,-8316.88636957
