summary,depth,k,total_expansion,field_bits,max_extra,cumulative_count,target_sparse_sum,stride_dimension_bound,total_log2_union
total,11,2048,8,128.00000000,128,0,96,1,-99.60768258

depth,k,live_bits,live_rows,max_extra_checked,worst_extra_outputs,worst_needed_zeros,worst_dimension_excess,worst_term_log2,subtotal_log2
11,2048,1,2,128,0,931,0,-114403.97707489,-114403.97707489
11,2048,2,4,128,0,421,0,-51233.87587347,-51233.87587347
11,2048,3,8,128,0,169,0,-20335.96842265,-20335.96842265
11,2048,4,16,128,0,49,0,-5801.23201685,-5801.23201685
11,2048,5,32,128,0,1,0,-100.60768258,-100.60768258
11,2048,6,64,128,0,1,0,-100.60768258,-100.60768258
11,2048,7,128,128,0,49,0,-5801.23201685,-5801.23201685
11,2048,8,256,128,0,169,0,-20335.96842265,-20335.96842265
11,2048,9,512,128,0,421,0,-51233.87587347,-51233.87587347
11,2048,10,1024,128,0,931,0,-114403.97707489,-114403.97707489
11,2048,11,2048,128,128,2082,128,-241353.06498666,-241353.04523599
