summary,depth,k,total_expansion,field_bits,max_extra,cumulative_count,target_sparse_sum,stride_dimension_bound,charge_overhead_log2,total_log2_union
total,11,2048,8,128.00000000,128,0,96,1,108.00000000,-67.37561327

depth,k,live_bits,live_rows,max_extra_checked,worst_extra_outputs,worst_needed_zeros,worst_dimension_excess,worst_term_log2,subtotal_log2
11,2048,1,2,128,0,931,0,-114403.97707489,-114403.95990700
11,2048,2,4,128,0,421,0,-51233.87587347,-51233.81644882
11,2048,3,8,128,0,169,0,-20335.96842265,-20335.79272778
11,2048,4,16,128,0,49,0,-5801.23201685,-5800.58828627
11,2048,5,32,128,4,5,0,-93.94844020,-91.99110514
11,2048,6,64,128,32,33,1,-67.40570400,-67.37561333
11,2048,7,128,128,48,97,3,-5698.17632345,-5697.27477475
11,2048,8,256,128,128,297,16,-19432.02347078,-19432.02347078
11,2048,9,512,128,128,549,32,-48422.46122124,-48422.46122124
11,2048,10,1024,128,128,1059,64,-107637.54432702,-107637.54432702
11,2048,11,2048,128,128,2082,128,-227529.06498666,-227529.06498666
