summary,depth,k,total_expansion,field_bits,max_extra,cumulative_count,target_sparse_sum,stride_dimension_bound,charge_overhead_log2,virtual_core_holes_max,virtual_core_holes_coupled_to_extra,virtual_core_hole_extra_factor,total_log2_union
total,11,2048,8,128.00000000,128,0,96,1,192.00000000,2048,1,2,10547.46914530

depth,k,live_bits,live_rows,max_extra_checked,worst_extra_outputs,worst_needed_zeros,worst_dimension_excess,worst_term_log2,subtotal_log2
11,2048,1,2,128,128,1059,0,-103965.33700942,-103965.33700942
11,2048,2,4,128,128,549,0,-40703.61508421,-40703.61508421
11,2048,3,8,128,128,297,1,-9864.89326423,-9864.89326423
11,2048,4,16,128,128,177,2,4603.51403023,4603.51403023
11,2048,5,32,128,128,129,3,10395.10907892,10395.10907892
11,2048,6,64,128,128,129,5,10547.46914530,10547.46914530
11,2048,7,128,128,128,177,9,5162.28825650,5162.28825650
11,2048,8,256,128,128,297,17,-8521.23475358,-8521.23475358
11,2048,9,512,128,128,549,33,-37526.96162663,-37526.96162663
11,2048,10,1024,128,128,1059,65,-96749.76790046,-96749.76790046
11,2048,11,2048,128,128,2082,129,-216645.17007492,-216645.17007492
