summary,depth,k,total_expansion,field_bits,max_extra,cumulative_count,target_sparse_sum,stride_dimension_bound,charge_overhead_log2,virtual_core_holes_max,total_log2_union
total,11,2048,8,128.00000000,128,0,96,1,64.00000000,1,-83.06077305

depth,k,live_bits,live_rows,max_extra_checked,worst_extra_outputs,worst_needed_zeros,worst_dimension_excess,worst_term_log2,subtotal_log2
11,2048,1,2,128,0,931,0,-114383.97707351,-114383.97707351
11,2048,2,4,128,0,421,0,-51214.29090913,-51214.29090913
11,2048,3,8,128,0,169,0,-20317.16106458,-20317.16106458
11,2048,4,16,128,0,49,0,-5783.32512039,-5783.32512039
11,2048,5,32,128,0,1,0,-83.65347490,-83.65347490
11,2048,6,64,128,0,1,0,-84.63038029,-84.63038029
11,2048,7,128,128,0,49,0,-5786.24328779,-5786.24328779
11,2048,8,256,128,0,169,0,-20321.97398082,-20321.97398082
11,2048,9,512,128,0,421,0,-51220.87851754,-51220.87851754
11,2048,10,1024,128,128,1059,64,-113264.60244912,-113264.60239165
11,2048,11,2048,128,128,2082,128,-233157.07621392,-233157.07621392
