summary,depth,k,total_expansion,field_bits,max_extra,cumulative_count,target_sparse_sum,stride_dimension_bound,charge_overhead_log2,virtual_core_holes_max,total_log2_union
total,11,2048,8,128.00000000,128,0,96,1,64.00000000,8,3.75441819

depth,k,live_bits,live_rows,max_extra_checked,worst_extra_outputs,worst_needed_zeros,worst_dimension_excess,worst_term_log2,subtotal_log2
11,2048,1,2,128,0,931,0,-114274.65449236,-114274.65449236
11,2048,2,4,128,0,421,0,-51107.90009742,-51107.90009742
11,2048,3,8,128,0,169,0,-20216.28972380,-20216.28972380
11,2048,4,16,128,0,49,0,-5688.91791567,-5688.91791567
11,2048,5,32,128,0,1,0,3.75052325,3.75052325
11,2048,6,64,128,0,1,0,-4.78047639,-4.78047639
11,2048,7,128,128,0,49,0,-5714.98485749,-5714.98485749
11,2048,8,256,128,0,169,0,-20263.28737914,-20263.28737914
11,2048,9,512,128,0,421,0,-51194.46506503,-51194.46506503
11,2048,10,1024,128,128,1059,64,-113261.57862670,-113261.57856836
11,2048,11,2048,128,128,2082,128,-233157.07621392,-233157.07621392
