summary,depth,k,total_expansion,field_bits,max_extra,cumulative_count,target_sparse_sum,stride_dimension_bound,charge_overhead_log2,virtual_core_holes_max,virtual_core_holes_coupled_to_extra,virtual_core_hole_extra_factor,total_log2_union
total,11,2048,8,128.00000000,128,0,96,1,64.00000000,128,1,1,-99.60768253

depth,k,live_bits,live_rows,max_extra_checked,worst_extra_outputs,worst_needed_zeros,worst_dimension_excess,worst_term_log2,subtotal_log2
11,2048,1,2,128,0,931,0,-114403.97707489,-114403.97707489
11,2048,2,4,128,0,421,0,-51233.87587347,-51233.87587347
11,2048,3,8,128,0,169,0,-20335.96842265,-20335.96842265
11,2048,4,16,128,0,49,0,-5801.23201685,-5801.23201685
11,2048,5,32,128,0,1,0,-100.60768258,-100.60768252
11,2048,6,64,128,0,1,0,-100.60768258,-100.60768255
11,2048,7,128,128,0,49,0,-5801.23201685,-5801.23201685
11,2048,8,256,128,0,169,0,-20335.96842265,-20335.96842260
11,2048,9,512,128,4,425,2,-51141.98434426,-51141.98434426
11,2048,10,1024,128,128,1059,65,-113133.76790046,-113133.76784200
11,2048,11,2048,128,128,2082,129,-233029.17007492,-233029.17007492
