summary,depth,k,total_expansion,field_bits,max_extra,cumulative_count,target_sparse_sum,stride_dimension_bound,charge_overhead_log2,virtual_core_holes_max,virtual_core_holes_coupled_to_extra,virtual_core_hole_extra_factor,total_log2_union
total,11,2048,8,128.00000000,128,0,96,1,64.00000000,128,1,5,-21.53925283

depth,k,live_bits,live_rows,max_extra_checked,worst_extra_outputs,worst_needed_zeros,worst_dimension_excess,worst_term_log2,subtotal_log2
11,2048,1,2,128,4,935,0,-114346.33429773,-114345.74270164
11,2048,2,4,128,4,425,0,-51177.52066837,-51176.91442133
11,2048,3,8,128,3,172,0,-20288.47852104,-20287.82872717
11,2048,4,16,128,3,52,0,-5762.28951742,-5761.77250141
11,2048,5,32,128,2,3,0,-64.31439003,-63.48507173
11,2048,6,64,128,6,7,1,-21.53925283,-21.53925283
11,2048,7,128,128,3,52,1,-5692.23452560,-5692.23452560
11,2048,8,256,128,2,171,1,-20235.48863585,-20235.48863585
11,2048,9,512,128,1,422,1,-51116.97628640,-51116.97628636
11,2048,10,1024,128,128,1059,65,-113133.76790046,-113133.76784200
11,2048,11,2048,128,128,2082,129,-233029.17007492,-233029.17007492
