shape,columns,is_bad,full_child_blocks_level_0,full_child_blocks_level_1,full_child_blocks_level_2,full_child_blocks_level_3,sibling_groups_level_1,sibling_groups_level_2,sibling_groups_level_3,sibling_groups_level_4,dead_sibling_groups_level_1,dead_sibling_groups_level_2,dead_sibling_groups_level_3,dead_sibling_groups_level_4,one_live_sibling_groups_level_1,one_live_sibling_groups_level_2,one_live_sibling_groups_level_3,one_live_sibling_groups_level_4,singleton_groups_level_1,singleton_groups_level_2,singleton_groups_level_3,singleton_groups_level_4,zero_singleton_groups_level_1,zero_singleton_groups_level_2,zero_singleton_groups_level_3,zero_singleton_groups_level_4
57,0:4:6:8:9:10:11:12:13:14:15:55:66:87:111:127,1,11,4,2,1,4,0,0,1,3,0,0,1,3,0,0,1,8,8,5,3,0,0,1,0
60,1:2:3:8:9:10:11:12:13:14:15:48:57:72:74:113,1,11,5,2,1,0,0,0,1,0,0,0,1,0,0,0,1,12,8,5,3,0,0,1,0
67,1:4:6:7:8:9:10:11:12:14:15:36:70:89:92:126,1,11,4,1,0,0,0,0,2,0,0,0,0,0,0,0,0,12,9,6,1,0,0,0,0
68,1:2:4:5:6:7:8:9:10:11:14:50:57:62:90:118,1,11,4,2,0,4,0,2,1,3,0,2,0,3,0,2,0,4,8,4,3,0,2,0,0
71,0:1:6:8:9:10:11:12:13:14:15:29:51:107:123:127,1,11,5,2,1,0,2,0,1,0,1,0,1,0,1,0,1,10,4,5,3,1,0,1,0
72,1:3:5:8:9:10:11:12:13:14:15:50:106:112:115:126,1,11,4,2,1,0,2,0,1,0,0,0,1,0,0,0,1,12,4,5,3,0,0,1,0
83,0:1:3:4:5:6:7:8:9:12:13:26:28:39:82:95,1,11,5,1,0,0,0,0,2,0,0,0,0,0,0,0,0,9,9,6,1,0,0,0,0
84,0:1:2:3:8:9:10:12:13:14:15:27:33:39:55:89,1,11,5,2,0,0,0,2,1,0,0,2,0,0,0,2,0,9,8,4,3,0,2,0,0
91,0:1:2:3:4:5:6:7:8:11:15:16:55:67:72:83,1,11,4,2,1,0,0,1,1,0,0,0,1,0,0,0,1,12,6,3,3,0,0,1,0
92,0:1:2:3:5:6:7:8:11:12:14:40:53:79:96:109,1,11,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,15,9,6,1,0,0,0,0
98,0:1:6:8:9:10:11:12:13:14:15:22:32:74:78:102,1,11,5,2,1,0,2,1,1,0,1,0,1,0,1,0,1,7,2,3,3,1,0,1,0
99,0:1:2:3:4:5:6:7:8:10:11:33:54:61:89:99,1,11,5,2,1,3,0,1,1,1,0,0,1,1,0,0,1,3,6,3,3,0,0,1,0
107,0:1:2:3:4:5:6:7:10:13:15:27:28:32:84:88,1,11,4,2,1,0,0,0,2,0,0,0,2,0,0,0,2,12,6,5,1,0,0,2,0
108,0:1:2:3:9:10:11:12:13:14:15:29:35:49:63:91,1,11,5,2,0,0,2,2,1,0,1,2,0,0,1,2,0,7,4,4,3,1,2,0,0
