full_child_blocks_level_0,full_child_blocks_level_1,full_child_blocks_level_2,full_child_blocks_level_3,sibling_groups_level_1,sibling_groups_level_2,sibling_groups_level_3,sibling_groups_level_4,dead_sibling_groups_level_1,dead_sibling_groups_level_2,dead_sibling_groups_level_3,dead_sibling_groups_level_4,one_live_sibling_groups_level_1,one_live_sibling_groups_level_2,one_live_sibling_groups_level_3,one_live_sibling_groups_level_4,singleton_groups_level_1,singleton_groups_level_2,singleton_groups_level_3,singleton_groups_level_4,zero_singleton_groups_level_1,zero_singleton_groups_level_2,zero_singleton_groups_level_3,zero_singleton_groups_level_4,unknown_count,good_count,bad_count,total_count
11,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,15,9,6,1,0,0,0,0,0,0,1,1
11,4,1,0,0,0,0,2,0,0,0,0,0,0,0,0,12,9,6,1,0,0,0,0,0,0,1,1
11,4,2,0,4,0,2,1,3,0,2,0,3,0,2,0,4,8,4,3,0,2,0,0,0,0,1,1
11,4,2,1,0,0,0,2,0,0,0,2,0,0,0,2,12,6,5,1,0,0,2,0,0,0,1,1
11,4,2,1,0,0,1,1,0,0,0,1,0,0,0,1,12,6,3,3,0,0,1,0,0,0,1,1
11,4,2,1,0,2,0,1,0,0,0,1,0,0,0,1,12,4,5,3,0,0,1,0,0,0,1,1
11,4,2,1,4,0,0,1,3,0,0,1,3,0,0,1,8,8,5,3,0,0,1,0,0,0,1,1
11,5,1,0,0,0,0,2,0,0,0,0,0,0,0,0,9,9,6,1,0,0,0,0,0,0,1,1
11,5,2,0,0,0,2,1,0,0,2,0,0,0,2,0,9,8,4,3,0,2,0,0,0,0,1,1
11,5,2,0,0,2,2,1,0,1,2,0,0,1,2,0,7,4,4,3,1,2,0,0,0,0,1,1
11,5,2,1,0,0,0,1,0,0,0,1,0,0,0,1,12,8,5,3,0,0,1,0,0,0,1,1
11,5,2,1,0,2,0,1,0,1,0,1,0,1,0,1,10,4,5,3,1,0,1,0,0,0,1,1
11,5,2,1,0,2,1,1,0,1,0,1,0,1,0,1,7,2,3,3,1,0,1,0,0,0,1,1
11,5,2,1,3,0,1,1,1,0,0,1,1,0,0,1,3,6,3,3,0,0,1,0,0,0,1,1
