rows,outputs,rows_subcube,outputs_subcube,matched_block_stride
0:1,0:1:2:4:6:8:10:12:14,1,0,0
0:1,0:1:3:5:7:9:11:13:15,1,0,0
0:1,0:2:3:4:6:8:10:12:14,1,0,0
0:1,0:2:4:5:6:8:10:12:14,1,0,0
0:1,0:2:4:6:7:8:10:12:14,1,0,0
0:1,0:2:4:6:8:9:10:12:14,1,0,0
0:1,0:2:4:6:8:10:11:12:14,1,0,0
0:1,0:2:4:6:8:10:12:13:14,1,0,0
0:1,0:2:4:6:8:10:12:14:15,1,0,0
0:1,1:2:3:5:7:9:11:13:15,1,0,0
0:1,1:3:4:5:7:9:11:13:15,1,0,0
0:1,1:3:5:6:7:9:11:13:15,1,0,0
0:1,1:3:5:7:8:9:11:13:15,1,0,0
0:1,1:3:5:7:9:10:11:13:15,1,0,0
0:1,1:3:5:7:9:11:12:13:15,1,0,0
0:1,1:3:5:7:9:11:13:14:15,1,0,0
2:3,0:1:2:4:6:8:10:12:14,1,0,0
2:3,0:1:3:5:7:9:11:13:15,1,0,0
2:3,0:2:3:4:6:8:10:12:14,1,0,0
2:3,0:2:4:5:6:8:10:12:14,1,0,0
2:3,0:2:4:6:7:8:10:12:14,1,0,0
2:3,0:2:4:6:8:9:10:12:14,1,0,0
2:3,0:2:4:6:8:10:11:12:14,1,0,0
2:3,0:2:4:6:8:10:12:13:14,1,0,0
2:3,0:2:4:6:8:10:12:14:15,1,0,0
2:3,1:2:3:5:7:9:11:13:15,1,0,0
2:3,1:3:4:5:7:9:11:13:15,1,0,0
2:3,1:3:5:6:7:9:11:13:15,1,0,0
2:3,1:3:5:7:8:9:11:13:15,1,0,0
2:3,1:3:5:7:9:10:11:13:15,1,0,0
2:3,1:3:5:7:9:11:12:13:15,1,0,0
2:3,1:3:5:7:9:11:13:14:15,1,0,0
4:5,0:1:2:4:6:8:10:12:14,1,0,0
4:5,0:1:3:5:7:9:11:13:15,1,0,0
4:5,0:2:3:4:6:8:10:12:14,1,0,0
