mode,ensemble,projected_state,expected_pair_count,expected_low_tail_contribution,fraction_of_low_tail,max_tail_probability,projected_upper_contribution,projected_slack_factor
support,systematic,4,17920.000000000793,1.2202228816598653,0.7183790511629755,1.0,17920.000000000793,14685.841635443088
support,original,8,65536.00000000127,0.920535295009613,0.9001598422861619,0.828125,54272.00000000105,58957.00066496016
support,systematic,8,65536.00000000095,0.31705078125,0.1866565877661877,0.63671875,41728.000000000604,131612.98589293603
support,systematic,2,447.9999999999997,0.16127942662104033,0.09494967125229452,0.7559747695922852,338.6766967773435,2099.937381183374
support,original,4,17920.000000001142,0.10178380323573948,0.09953088465446856,0.22412490844726562,4016.318359375256,39459.30719520413
support,original,2,447.99999999999784,0.0003161032311618328,0.0003091064908117512,0.002781510353088379,1.2461166381835878,3942.1192678211614
support,systematic,1,32.0,2.0668864890467377e-05,1.2168333975537236e-05,0.00011533591896295547,0.003690749406814575,178.5656554616492
support,systematic,6,114688.00000000115,4.281997680664063e-06,2.5209307882614902e-06,1.52587890625e-05,1.7500000000000175,408687.75055679696
support,original,6,114688.00000000192,1.6689300537109377e-07,1.6319893675770304e-07,9.5367431640625e-07,0.10937500000000183,655360.000000011
support,original,1,31.999999999999996,3.4458935260772707e-09,3.369620904037395e-09,4.284083843231201e-08,1.3709068298339842e-06,397.83783783783775
support,systematic,3,3583.99999999995,9.406358003616333e-10,5.537783825480462e-10,1.1408701539039612e-08,4.08887863159174e-05,43469.306930692466
support,original,7,131072.0000000014,0.0,0.0,0.0,0.0,0.0
support,original,5,57344.000000001135,0.0,0.0,0.0,0.0,0.0
support,original,3,3583.9999999999186,0.0,0.0,0.0,0.0,0.0
support,systematic,7,131072.000000001,0.0,0.0,0.0,0.0,0.0
support,systematic,5,57344.000000000706,0.0,0.0,0.0,0.0,0.0
support_active,systematic,4:10,1.44,0.3862548828125,0.22739896160974984,0.828125,1.1925,3.0873396119082233
support_active,original,8:11,0.8,0.3,0.29335969424510605,0.5,0.4,1.3333333333333335
support_active,original,8:12,1.76,0.25587890625000004,0.2502151923375739,0.19384765625,0.341171875,1.3333333333333333
support_active,systematic,4:9,0.32,0.22389160156250001,0.13181119507859,0.6996612548828125,0.22389160156250001,1.0
support_active,systematic,4:12,4.48,0.2178112602233887,0.12823152950471053,0.19384765625,0.8684375000000001,3.98711021234313
support_active,original,8:10,0.32,0.19874999999999998,0.19435079743738276,0.828125,0.265,1.3333333333333335
support_active,systematic,4:11,1.76,0.16943161010742186,0.09974908775716029,0.5,0.88,5.193836022936148
support_active,systematic,8:9,0.64,0.121875,0.07175119248820373,0.25390625,0.1625,1.3333333333333335
support_active,original,8:13,3.52,0.12181640625000001,0.1191200789717921,0.046142578125,0.162421875,1.3333333333333333
support_active,systematic,8:10,2.56,0.105,0.06181641198983706,0.0546875,0.14,1.3333333333333335
support_active,systematic,4:13,8.64,0.10039443969726562,0.059104990912524046,0.046142578125,0.398671875,3.9710553313726833
support_active,systematic,4:8,0.08,0.08,0.047098218658923476,1.0,0.08,1.0
support_active,systematic,8:8,0.16,0.07640625,0.04498247836760465,0.63671875,0.10187500000000001,1.3333333333333335
support_active,systematic,2:10,0.08,0.060477981567382814,0.03560506499888674,0.7559747695922852,0.060477981567382814,1.0
support_active,systematic,2:11,0.16,0.045871276855468754,0.02700569284378604,0.2866954803466797,0.045871276855468754,1.0
support_active,systematic,2:12,0.72,0.039169607162475584,0.02306023403653013,0.05440223217010498,0.039169607162475584,1.0
support_active,original,8:14,8.0,0.038818359375,0.037959140124488824,0.0064697265625,0.0517578125,1.3333333333333333
support_active,systematic,4:14,19.039999999999978,0.036938817501068116,0.021746906295842194,0.0064697265625,0.12318359374999986,3.3348006807862194
support_active,original,4:10,0.16,0.0358599853515625,0.03506624779456119,0.22412490844726562,0.0358599853515625,1.0
support_active,original,4:12,1.04,0.025709447860717775,0.025140385878768875,0.19384765625,0.2016015625,7.841536060680361
support_active,original,4:13,2.24,0.016833305358886715,0.016460711044058374,0.046142578125,0.103359375,6.140171095122091
support_active,original,4:11,0.4,0.013731002807617188,0.013427075951070903,0.03432750701904297,0.013731002807617188,1.0
support_active,systematic,8:11,2.88,0.01265625,0.007451085373775004,0.005859375,0.016875,1.3333333333333333
support_active,original,4:14,5.760000000000001,0.008552883863449098,0.008363571316984428,0.0064697265625,0.037265625000000004,4.357083013748769
support_active,systematic,2:13,1.44,0.008135032653808593,0.004789319334081995,0.0056493282318115234,0.008135032653808593,1.0
support_active,systematic,4:15,28.48,0.005280740857124329,0.003108918594624408,0.00048828125,0.01390625,2.633389968613753
support_active,original,8:15,13.92,0.00509765625,0.004984822929555513,0.00048828125,0.006796875,1.3333333333333335
support_active,systematic,2:15,7.5200000000000005,0.004307772517204285,0.0025361051493523576,0.017578125,0.1321875,30.68581255673844
support_active,systematic,2:16,10.639999999999999,0.0017584839276969433,0.0010352682566859151,0.0020904541015625,0.022242431640624998,12.648640849254468
support_active,systematic,2:14,3.76,0.0012854447960853575,0.0007567770010000434,0.0003418736159801483,0.0012854447960853575,1.0
support_active,systematic,8:12,6.08,0.00111328125,0.0006554195467672456,0.000244140625,0.001484375,1.3333333333333335
support_active,original,4:15,9.840000000000002,0.0010549856722354889,0.001031634247466569,0.00048828125,0.004804687500000001,4.5542680118289995
support_active,systematic,2:17,14.64,0.00026370843872427943,0.00015525247136549295,0.0001373291015625,0.002010498046875,7.623942777868696
support_active,original,2:12,0.08,0.00022252082824707032,0.00021759547379242771,0.002781510353088379,0.00022252082824707032,1.0
support_active,systematic,4:16,35.99999999999997,0.00021952889859676357,0.0001292427508507876,1.52587890625e-05,0.0005493164062499996,2.5022510009445194
support_active,original,8:16,17.119999999999976,0.0001739668846130371,0.00017011624026284737,1.52587890625e-05,0.00026123046874999964,1.5016103169926112
support_active,original,2:15,1.6,5.8655440807342525e-05,5.7357140603513065e-05,0.00048828125,0.00078125,13.319310011940148
support_active,original,4:16,11.6,4.2192321270704266e-05,4.125842155821696e-05,1.52587890625e-05,0.000177001953125,4.195122424987297
support_active,original,2:13,0.24,3.0269622802734374e-05,2.959962430108282e-05,0.00012612342834472656,3.0269622802734374e-05,1.0
support_active,systematic,1:15,0.16,1.8453747034072877e-05,1.0864232661090312e-05,0.00011533591896295547,1.8453747034072877e-05,1.0
support_active,systematic,2:18,19.119999999999994,1.0118702193722128e-05,5.957160605805668e-06,3.814697265625e-06,7.293701171874998e-05,7.208138980906242
support_active,systematic,6:14,7.680000000000005,4.281997680664063e-06,2.5209307882614902e-06,1.52587890625e-05,0.00011718750000000008,27.367483296213827
support_active,original,2:14,0.88,2.8258562088012698e-06,2.7633077113152504e-06,3.21120023727417e-06,2.8258562088012698e-06,1.0
support_active,systematic,1:16,0.56,2.1186284720897676e-06,1.2472953379438103e-06,3.7832651287317276e-06,2.1186284720897676e-06,1.0
support_active,original,2:16,2.0,1.831483095884323e-06,1.790944403412351e-06,1.52587890625e-05,3.0517578125e-05,16.66276811048847
support_active,original,6:16,2.5600000000000014,1.6689300537109377e-07,1.6319893675770304e-07,9.5367431640625e-07,2.4414062500000013e-06,14.628571428571435
support_active,systematic,1:17,1.28,9.506940841674805e-08,5.5969997317331245e-08,7.427297532558441e-08,9.506940841674805e-08,1.0
support_active,original,1:15,0.08,3.427267074584961e-09,3.3514067369885444e-09,4.284083843231201e-08,3.427267074584961e-09,1.0
support_active,systematic,1:18,1.76,1.4086253941059112e-09,8.292968352514058e-10,8.003553375601768e-10,1.4086253941059112e-09,1.0
support_active,systematic,3:16,0.08,9.126961231231689e-10,5.373295197000844e-10,1.1408701539039612e-08,9.126961231231689e-10,1.0
support_active,systematic,3:17,0.48,2.7939677238464354e-11,1.644886284796177e-11,5.820766091346741e-11,2.7939677238464354e-11,1.0
support_active,original,1:16,0.08,1.862645149230957e-11,1.8214167048850785e-11,2.3283064365386963e-10,1.862645149230957e-11,1.0
support_active,systematic,1:19,3.12,1.1350493878126145e-11,6.682350531984469e-12,3.637978807091713e-12,1.1350493878126145e-11,1.0
support_active,original,7:32,72108.80000000005,0.0,0.0,0.0,0.0,0.0
support_active,original,6:32,59797.92000000007,0.0,0.0,0.0,0.0,0.0
support_active,original,8:32,27186.240000000038,0.0,0.0,0.0,0.0,0.0
support_active,original,5:32,20548.480000000058,0.0,0.0,0.0,0.0,0.0
support_active,original,7:31,19166.080000000053,0.0,0.0,0.0,0.0,0.0
support_active,original,7:30,17287.040000000037,0.0,0.0,0.0,0.0,0.0
support_active,original,6:31,18267.360000000062,0.0,0.0,0.0,0.0,0.0
support_active,original,6:30,15290.239999999987,0.0,0.0,0.0,0.0,0.0
support_active,original,5:31,13652.799999999992,0.0,0.0,0.0,0.0,0.0
support_active,original,8:31,12494.879999999986,0.0,0.0,0.0,0.0,0.0
support_active,original,7:29,11741.439999999995,0.0,0.0,0.0,0.0,0.0
support_active,original,5:30,10454.399999999985,0.0,0.0,0.0,0.0,0.0
support_active,original,8:30,10894.399999999987,0.0,0.0,0.0,0.0,0.0
support_active,original,6:29,10138.879999999985,0.0,0.0,0.0,0.0,0.0
support_active,original,6:27,2325.5999999999935,0.0,0.0,0.0,0.0,0.0
support_active,original,6:26,1389.7600000000004,0.0,0.0,0.0,0.0,0.0
support_active,original,5:29,6948.799999999989,0.0,0.0,0.0,0.0,0.0
support_active,original,6:28,5659.999999999993,0.0,0.0,0.0,0.0,0.0
support_active,original,8:26,917.7600000000003,0.0,0.0,0.0,0.0,0.0
support_active,original,8:27,1545.439999999999,0.0,0.0,0.0,0.0,0.0
support_active,original,4:32,5546.399999999989,0.0,0.0,0.0,0.0,0.0
support_active,original,8:28,3808.9599999999978,0.0,0.0,0.0,0.0,0.0
support_active,original,3:27,187.92000000000053,0.0,0.0,0.0,0.0,0.0
support_active,original,6:25,568.96,0.0,0.0,0.0,0.0,0.0
support_active,original,3:26,263.67999999999967,0.0,0.0,0.0,0.0,0.0
support_active,original,8:29,7193.599999999994,0.0,0.0,0.0,0.0,0.0
support_active,original,7:28,6470.399999999991,0.0,0.0,0.0,0.0,0.0
support_active,original,3:28,402.1600000000001,0.0,0.0,0.0,0.0,0.0
support_active,original,8:25,386.0799999999996,0.0,0.0,0.0,0.0,0.0
support_active,original,4:31,4625.679999999989,0.0,0.0,0.0,0.0,0.0
support_active,original,4:26,358.8800000000002,0.0,0.0,0.0,0.0,0.0
support_active,original,4:27,445.84000000000026,0.0,0.0,0.0,0.0,0.0
support_active,original,5:28,3660.1599999999917,0.0,0.0,0.0,0.0,0.0
support_active,original,8:24,442.08000000000027,0.0,0.0,0.0,0.0,0.0
support_active,original,4:28,1170.4000000000005,0.0,0.0,0.0,0.0,0.0
support_active,original,3:25,89.4399999999997,0.0,0.0,0.0,0.0,0.0
