"depth","security_bits","k","parity_n","total_n","distance","support","systematic_relative","non_systematic_relative","dense_heuristic_relative","threshold","worst_log2_slack","worst_support","seconds"
"1","80","2","14","16","14","1","0.875","0.875","0.875","2","-38.8663910605333","2","0.02"
"2","81","4","28","32","25","2","0.78125","0.8125","0.8125","6","-25.5026283693075","4","0.008"
"3","82","8","56","64","47","2","0.734375","0.78125","0.78125","12","-0.972681993044702","8","0.01"
"4","82","16","112","128","88","4","0.6875","0.7578125","0.7578125","29","-75.4656772522362","13","0.013"
"5","83","32","224","256","166","8","0.6484375","0.74609375","0.74609375","67","-40.9355183194737","8","0.009"
"6","83","64","448","512","321","8","0.62695312","0.73632812","0.73828125","136","-4.04711112612767","1","0.014"
"7","83","128","896","1024","629","8","0.61425781","0.72949219","0.73144531","276","-6.46535311179946","95","0.035"
"8","83","256","1792","2048","1233","16","0.60205078","0.72363281","0.72607422","576","-0.665423591256442","178","0.17"
"9","84","512","3584","4096","2418","32","0.59033203","0.70288086","0.72119141","1199","-1.68266929742435","49","1.149"
"10","84","1024","7168","8192","4771","64","0.58239746","0.69787598","0.7166748","2462","-0.649539308977907","827","8.831"
"11","84","2048","14336","16384","9418","64","0.5748291","0.69299316","0.71221924","4983","-0.0178770652583751","1666","84.329"
